"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","GPT o3 Long",58,0.862981744421907,0.873326572008114,57,0.191175407624619,0.26412391842875
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","GPT o3 Short",100,0.858901960784314,0.874098039215686,99,0.0112442011143227,0.0206017913034235
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","Gemini 2.5 Pro Long",100,0.858901960784314,0.860372549019608,99,0.811694675731252,0.857028044536176
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","Gemini 2.5 Pro Short",97,0.859995957145745,0.847948251465535,96,0.12312604095712,0.18130209914398
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","Gemini Advanced 2.0 Flash Long",100,0.858901960784314,0.850764705882353,99,0.218095557403941,0.293012240016122
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","Gemini Advanced 2.0 Flash Short",100,0.858901960784314,0.818980392156863,99,2.64709190763056e-06,7.29955647255701e-06
"GLMNETLasso","KD/MIS-C","Claude Opus4 Short","Random",100,0.858901960784314,0.765098039215686,99,4.44716517870174e-23,3.41032610613926e-22
"GLMNETLasso","KD/MIS-C","DESeq","GPT 4o Long",100,0.942745098039216,0.832745098039216,99,1.75549308721104e-29,2.44515108575824e-28
"GLMNETLasso","KD/MIS-C","DESeq","GPT 4o Short",100,0.942745098039216,0.776843137254902,99,6.8023632478967e-30,9.87789982274362e-29
"GLMNETLasso","KD/MIS-C","DESeq","GPT o3 Long",58,0.947295469912103,0.873326572008114,57,1.943275721774e-15,1.00097032461189e-14
"GLMNETLasso","KD/MIS-C","DESeq","GPT o3 Short",100,0.942745098039216,0.874098039215686,99,3.31875614327078e-23,2.57392166793444e-22
"GLMNETLasso","KD/MIS-C","DESeq","Gemini 2.5 Pro Long",100,0.942745098039216,0.860372549019608,99,3.45726662487945e-30,5.18589993731917e-29
"GLMNETLasso","KD/MIS-C","DESeq","Gemini 2.5 Pro Short",97,0.943440468971094,0.847948251465535,96,4.75550436642091e-25,4.35655265782855e-24
"GLMNETLasso","KD/MIS-C","DESeq","Gemini Advanced 2.0 Flash Long",100,0.942745098039216,0.850764705882353,99,3.70220278559162e-33,7.11761521455291e-32
"GLMNETLasso","KD/MIS-C","DESeq","Gemini Advanced 2.0 Flash Short",100,0.942745098039216,0.818980392156863,99,1.07575350815763e-28,1.3723397557338e-27
"GLMNETLasso","KD/MIS-C","DESeq","Random",100,0.942745098039216,0.765098039215686,99,1.96998313893085e-46,7.26764049902869e-45
"GLMNETLasso","KD/MIS-C","GPT 4o Long","GPT 4o Short",100,0.832745098039216,0.776843137254902,99,1.057748695208e-06,3.02055851246636e-06
"GLMNETLasso","KD/MIS-C","GPT 4o Long","GPT o3 Long",58,0.832251521298174,0.873326572008114,57,8.36445148060545e-06,2.19989908882976e-05
"GLMNETLasso","KD/MIS-C","GPT 4o Long","GPT o3 Short",100,0.832745098039216,0.874098039215686,99,9.35484703221056e-10,3.26582255728067e-09
"GLMNETLasso","KD/MIS-C","GPT 4o Long","Gemini 2.5 Pro Long",100,0.832745098039216,0.860372549019608,99,1.36355213976836e-05,3.51178994487511e-05
"GLMNETLasso","KD/MIS-C","GPT 4o Long","Gemini 2.5 Pro Short",97,0.832908833636547,0.847948251465535,96,0.078442942169948,0.121125131291831
"GLMNETLasso","KD/MIS-C","GPT 4o Long","Gemini Advanced 2.0 Flash Long",100,0.832745098039216,0.850764705882353,99,0.00476480058004014,0.00917341719570493
"GLMNETLasso","KD/MIS-C","GPT 4o Long","Gemini Advanced 2.0 Flash Short",100,0.832745098039216,0.818980392156863,99,0.102922200884811,0.156272307238896
"GLMNETLasso","KD/MIS-C","GPT 4o Long","Random",100,0.832745098039216,0.765098039215686,99,1.15321848245352e-14,5.58206818634415e-14
"GLMNETLasso","KD/MIS-C","GPT 4o Short","GPT o3 Long",58,0.767139959432049,0.873326572008114,57,1.71061784729889e-10,6.19361634366839e-10
"GLMNETLasso","KD/MIS-C","GPT 4o Short","GPT o3 Short",100,0.776843137254902,0.874098039215686,99,1.23114074468346e-15,6.46348890958817e-15
"GLMNETLasso","KD/MIS-C","GPT 4o Short","Gemini 2.5 Pro Long",100,0.776843137254902,0.860372549019608,99,4.96089116761169e-14,2.29546320128473e-13
"GLMNETLasso","KD/MIS-C","GPT 4o Short","Gemini 2.5 Pro Short",97,0.7767131594906,0.847948251465535,96,3.25475825545381e-10,1.15696484861835e-09
"GLMNETLasso","KD/MIS-C","GPT 4o Short","Gemini Advanced 2.0 Flash Long",100,0.776843137254902,0.850764705882353,99,4.46948514005423e-10,1.58053036688446e-09
"GLMNETLasso","KD/MIS-C","GPT 4o Short","Gemini Advanced 2.0 Flash Short",100,0.776843137254902,0.818980392156863,99,0.000383297564599114,0.00086052824947005
"GLMNETLasso","KD/MIS-C","GPT 4o Short","Random",100,0.776843137254902,0.765098039215686,99,0.253721268062593,0.332689270802535
"GLMNETLasso","KD/MIS-C","GPT o3 Long","GPT o3 Short",58,0.873326572008114,0.87579445571332,57,0.651760469164641,0.730421215443132
"GLMNETLasso","KD/MIS-C","GPT o3 Long","Gemini 2.5 Pro Long",58,0.873326572008114,0.861257606490872,57,0.0117417965452903,0.0214558932855707
"GLMNETLasso","KD/MIS-C","GPT o3 Long","Gemini 2.5 Pro Short",56,0.874719887955182,0.847514005602241,55,0.00180923164605992,0.00371927891095148
"GLMNETLasso","KD/MIS-C","GPT o3 Long","Gemini Advanced 2.0 Flash Long",58,0.873326572008114,0.849425287356322,57,0.00218019514521924,0.00441538037570366
"GLMNETLasso","KD/MIS-C","GPT o3 Long","Gemini Advanced 2.0 Flash Short",58,0.873326572008114,0.815720081135903,57,4.89019937391336e-07,1.45111350986777e-06
"GLMNETLasso","KD/MIS-C","GPT o3 Long","Random",58,0.873326572008114,0.762643678160919,57,4.26083442800867e-17,2.38362253861961e-16
"GLMNETLasso","KD/MIS-C","GPT o3 Short","Gemini 2.5 Pro Long",100,0.874098039215686,0.860372549019608,99,0.00399393081876164,0.00778816509658521
